city,usa,al,Magnolia Springs town,magnoliaspringstown,magnoliaspringstown
city,usa,al,Malcolm CDP,malcolmcdp,malcolmcdp
city,usa,al,Malvern town,malverntown,malverntown
city,usa,al,Maplesville town,maplesvilletown,maplesvilletown
city,usa,al,Marbury CDP,marburycdp,marburycdp
city,usa,al,Margaret town,margarettown,margarettown
city,usa,al,Marion city,marioncity,marioncity
city,usa,al,Maytown town,maytowntown,maytowntown
city,usa,al,McDonald Chapel CDP,mcdonaldchapelcdp,mcdonaldchapelcdp
city,usa,al,McIntosh town,mcintoshtown,mcintoshtown
city,usa,al,McKenzie town,mckenzietown,mckenzietown
city,usa,al,McMullen town,mcmullentown,mcmullentown
city,usa,al,Meadowbrook CDP,meadowbrookcdp,meadowbrookcdp
city,usa,al,Megargel CDP,megargelcdp,megargelcdp
city,usa,al,Memphis town,memphistown,memphistown
city,usa,al,Mentone town,mentonetown,mentonetown
city,usa,al,Meridianville CDP,meridianvillecdp,meridianvillecdp
city,usa,al,Midfield city,midfieldcity,midfieldcity
city,usa,al,Midland City town,midlandcitytown,midlandcitytown
city,usa,al,Midway town,midwaytown,midwaytown
city,usa,al,Mignon CDP,mignoncdp,mignoncdp
city,usa,al,Millbrook city,millbrookcity,millbrookcity
city,usa,al,Millerville CDP,millervillecdp,millervillecdp
city,usa,al,Millport town,millporttown,millporttown
city,usa,al,Millry town,millrytown,millrytown
city,usa,al,Minor CDP,minorcdp,minorcdp
city,usa,al,Mobile city,mobilecity,mobilecity
city,usa,al,Monroeville city,monroevillecity,monroevillecity
city,usa,al,Montevallo city,montevallocity,montevallocity
city,usa,al,Montgomery city,montgomerycity,montgomerycity
city,usa,al,Moody city,moodycity,moodycity
city,usa,al,Moores Mill CDP,mooresmillcdp,mooresmillcdp
city,usa,al,Mooresville town,mooresvilletown,mooresvilletown
city,usa,al,Morrison Crossroads CDP,morrisoncrossroadscdp,morrisoncrossroadscdp
city,usa,al,Morris town,morristown,morristown
city,usa,al,Mosses town,mossestown,mossestown
city,usa,al,Moulton city,moultoncity,moultoncity
city,usa,al,Moundville town,moundvilletown,moundvilletown
city,usa,al,Mountain Brook city,mountainbrookcity,mountainbrookcity
city,usa,al,Mount Olive CDP,mountolivecdp,mountolivecdp
city,usa,al,Mount Vernon town,mountvernontown,mountvernontown
city,usa,al,Movico CDP,movicocdp,movicocdp
